Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Industry,Business Description,Company Website,Started in,Male Presenters,Female Presenters,Pitchers Average Age,Pitchers City,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
4,PrettyLittleShop,10,507,06-Jan-25,18-Mar-25,17-Jan-25,Young Entrepreneurs Take the Stage,Lifestyle/Home,Personalized gift solutions,https://prettylittleshopp.in/,2021,0,1,Young,Mumbai,,86,77,62,,,,,,,30,10,300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
4,Aquapeya,11,508,06-Jan-25,18-Mar-25,20-Jan-25,Smart Solutions And Creative Ideas,Lifestyle/Home,Natural mineral water,https://www.aquapeya.com/,2018,2,0,Middle,Sangli,1200,,,,16,,,,,,70,2,3500,1,1,70,3,,,2333.333333,2,1,70,,35,1.5,,,,,,,,,,,,,,35,1.5,,,,,,,,,,1,,1,1,1,1,,
4,Jarsh,11,509,06-Jan-25,18-Mar-25,20-Jan-25,Smart Solutions And Creative Ideas,Manufacturing,Innovative safety wearables,https://jarshsafety.com/,2016,3,0,Middle,Hyderabad,,50,,,,,,yes,funded,,50,1,5000,1,1,50,1.5,,,3333.333333,1,,,,,,,,,,,,,50,1.5,,,,,,,,,,,,,,,,1,,1,1,1,1,,
4,DACBY,11,510,06-Jan-25,18-Mar-25,20-Jan-25,Smart Solutions And Creative Ideas,Beauty/Fashion,Platform for pre-owned gaming consoles,https://dacby.com/,2022,1,0,Middle,Kanpur,,30,24,,,yes,,,funded,,75,2.2,3409.090909,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
4,Shyle,12,511,06-Jan-25,18-Mar-25,21-Jan-25,Heritage Meets Modernity,Beauty/Fashion,Handcrafted jewellery silver,https://www.shyle.in/,2017,1,1,Middle,Jaipur,1500,120,,,,,,,yes,,70,1,7000,1,1,70,1.5,,,4666.666667,2,0.5,70,,35,0.75,,,,,,,,,,,,,,35,0.75,,,,,,,,,Kunal Bahl,1,1,1,,,1,,1
4,SavaniHeritage,12,512,06-Jan-25,18-Mar-25,21-Jan-25,Heritage Meets Modernity,Business Services,Innovative restoration techniques,https://www.savaniheritage.com/,1995,3,0,Middle,Mumbai,12400,,,9,,,,,,,300,1,30000,1,1,100,0.8,200,10,12500,1,,,,,,,,,,,,,,,,,,,100,0.8,200,,,,,,,,Kunal Bahl,1,1,1,,,1,,1
4,SNEAKINN,12,513,06-Jan-25,18-Mar-25,21-Jan-25,Heritage Meets Modernity,Beauty/Fashion,Premium sneaker care solutions,https://sneakinn.in/,2020,1,1,Middle,Gurugram,590,,43,,15,,,,,,90,3,3000,1,1,90,6.5,,,1384.615385,1,,,,,,,,,,90,6.5,,,,,,,,,,,,,,,,,,Kunal Bahl,1,1,1,,,1,,1
4,fupro,13,514,06-Jan-25,18-Mar-25,22-Jan-25,Revolutionizing Lives And Businesses,Medical/Health,Affordable prosthetics Orthotics,https://fupro.in/,,2,0,Young,Chandigarh,250,,45,,19,,20,yes,yes,,60,1,6000,1,1,60,4,,,1500,3,,,,20,1.333,,,,,,,,20,1.333,,,,,20,1.333,,,,,,,,,Kunal Bahl,1,,1,1,,1,,1
4,Kanvas,13,515,06-Jan-25,18-Mar-25,22-Jan-25,Revolutionizing Lives And Businesses,Beauty/Fashion,Heritage-inspired fashion footwear,https://kanvas.world/,,0,1,Young,Mumbai,77,,,15,,,,,,,60,6,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,1,,1,1,,1,,1
4,ezo,13,516,06-Jan-25,18-Mar-25,22-Jan-25,Revolutionizing Lives And Businesses,Manufacturing,Innovative billing machines,https://store.ezobooks.in/,,3,0,Middle,Akola,1200,,,,,yes,,,,,50,0.33,15151.51515,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,1,,1,1,,1,,1
