season_number,startup_name,episode_number,pitch_number,season_start,season_end,original_air_date,episode_title,industry,business_description,company_website,started_in,male_presenters,female_presenters,pitchers_average_age,pitchers_city,yearly_revenue,monthly_sales,gross_margin,net_margin,ebitda,cash_burn,skus,has_patents,bootstrapped,part_of_match_off,original_ask_amount,original_offered_equity,valuation_requested,received_offer,accepted_offer,total_deal_amount,total_deal_equity,total_deal_debt,debt_interest,deal_valuation,number_of_sharks_in_deal,royalty_percentage,royalty_recouped_amount,advisory_shares_equity,namita_investment_amount,namita_investment_equity,namita_debt_amount,vineeta_investment_amount,vineeta_investment_equity,vineeta_debt_amount,anupam_investment_amount,anupam_investment_equity,anupam_debt_amount,aman_investment_amount,aman_investment_equity,aman_debt_amount,peyush_investment_amount,peyush_investment_equity,peyush_debt_amount,ritesh_investment_amount,ritesh_investment_equity,ritesh_debt_amount,amit_investment_amount,amit_investment_equity,amit_debt_amount,guest_investment_amount,guest_investment_equity,guest_debt_amount,invested_guest_name,all_guest_names,namita_present,vineeta_present,anupam_present,aman_present,peyush_present,ritesh_present,amit_present,guest_present,deal_closed,investment_amount
1,Carragreen,13,39,20-Dec-21,04-Feb-22,05-Jan-22,Ideas By Young Entrepreneurs,Green/Cleantech,Eco-Friendly Boxes,Https://Carragreen.Com/,2018.0,,2.0,Middle,Indore,,,,,,Nan,,Yes,Nan,Nan,50.0,10.0,500.0,1,1.0,50.0,20.0,,,250.0,2.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,50.0
1,Theyarnbazaar,13,40,20-Dec-21,04-Feb-22,05-Jan-22,Ideas By Young Entrepreneurs,Manufacturing,Yarn-Trading App Online Marketplace For Yarn,Https://Theyarnbazaar.Com/,2019.0,1.0,,Middle,Mumbai,180.0,,,,,Nan,,Nan,Nan,Nan,50.0,2.0,2500.0,1,1.0,100.0,10.0,,,1000.0,4.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.5,0.0,25.0,2.5,0.0,25.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.5,0.0,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,100.0
1,Therenalproject,14,41,20-Dec-21,04-Feb-22,06-Jan-22,Naye Aur Nayab Pitchers,Medical/Health,Home Dialysis Treatment,Https://Www.Therenalproject.Com/,2019.0,1.0,,Middle,Mumbai,300.0,,,,,Nan,,Nan,Nan,Nan,100.0,3.0,3333.0,1,1.0,100.0,6.0,,,1667.0,2.0,,0.0,,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,100.0
1,Morrikopurefoods,14,42,20-Dec-21,04-Feb-22,06-Jan-22,Naye Aur Nayab Pitchers,Food And Beverage,Healthy Food Snacks Kamdhenu Foods,Https://Morrikopurefoods.Com/,2018.0,2.0,1.0,Middle,Valsad,,16.0,,,,Nan,,Nan,Nan,Nan,100.0,3.0,3333.0,1,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,0.0
1,Goodgoodpiggy,14,43,20-Dec-21,04-Feb-22,06-Jan-22,Naye Aur Nayab Pitchers,Technology/Software,Digital Piggy Bank,Https://Goodgoodpiggy.Com/,2021.0,,2.0,Young,Delhi,0.0,,,,,Nan,,Nan,Nan,Nan,45.0,5.0,900.0,0,,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,0.0
1,Hammerlifestyle,15,44,20-Dec-21,04-Feb-22,07-Jan-22,It'S Time To Change,Electronics,Smart Audio Products,Https://Hammeronline.In/,2019.0,3.0,,Young,Panipat,1000.0,,,,,Nan,14.0,Nan,Nan,Nan,30.0,3.0,1000.0,1,1.0,100.0,40.0,,,250.0,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,100.0
1,Pntrobotics,15,45,20-Dec-21,04-Feb-22,07-Jan-22,It'S Time To Change,Technology/Software,Robotics And Automation Solutions,Https://Pntsolutions.In/,2021.0,2.0,,Young,Mumbai,,,,,,Nan,,Nan,Nan,Nan,50.0,4.0,1250.0,1,1.0,25.0,25.0,25.0,,100.0,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,25.0
1,Cocofit,15,46,20-Dec-21,04-Feb-22,07-Jan-22,It'S Time To Change,Food And Beverage,Coconut Based Beverage Franchise,Https://Www.Cocofit.In/,2019.0,3.0,,Middle,Hyderabad,100.0,,95.0,,,Nan,,Nan,Nan,Nan,5e-05,5.0,0.0,1,1.0,5e-05,5.0,,,0.0,3.0,,0.0,,1.6e-05,1.666,0.0,0.0,0.0,0.0,1.6e-05,1.666,0.0,1.6e-05,1.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,5e-05
1,Bambooindia,16,47,20-Dec-21,04-Feb-22,10-Jan-22,Winning The Sharks Trust,Manufacturing,Bamboo Products,Https://Www.Bambooindia.Com/,2016.0,1.0,1.0,Middle,Pune,380.0,20.0,,,,Nan,,Nan,Nan,Nan,80.0,4.0,2000.0,1,1.0,50.0,3.5,30.0,,1429.0,2.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.75,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.75,15.0,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,50.0
1,Flyingfur,16,48,20-Dec-21,04-Feb-22,10-Jan-22,Winning The Sharks Trust,Animal/Pets,Dog Pets Hygiene,Https://Flyingfur.In/,2016.0,2.0,1.0,Middle,Delhi,,,,,,Nan,,Nan,Nan,Nan,75.0,7.0,1071.0,0,,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,0.0
